date,time,contact_date,sex,race,age,ethnicity,was_frisked,contact_officer,zip,circumstance,basis,key_situations,weather,vehicle_involved
2022-01-04,22:15:00,2022-01-04 22:15:00,Male,Black,27,Not of Hispanic Origin,0,140306,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-05,21:26:00,2022-01-05 21:26:00,Male,Black,29,Not of Hispanic Origin,0,140330,02119,Stopped,Intel,NULL,NULL,FALSE
2022-01-05,20:50:00,2022-01-05 20:50:00,Male,Black,32,Not of Hispanic Origin,1,162316,02116,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-06,NA,2022-01-06,Male,White,40,Hispanic Origin,1,144447,02119,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-06,03:30:00,2022-01-06 03:30:00,Female,White,44,Not of Hispanic Origin,0,135932,02119,Encountered,Encounter,NULL,NULL,FALSE
2022-01-06,03:30:00,2022-01-06 03:30:00,Female,White,27,NULL,0,135932,02119,Encountered,Encounter,NULL,NULL,FALSE
2022-01-06,03:30:00,2022-01-06 03:30:00,Female,White,35,Not of Hispanic Origin,0,135932,02119,Encountered,Encounter,NULL,NULL,FALSE
2022-01-06,03:30:00,2022-01-06 03:30:00,Male,Black,26,Not of Hispanic Origin,0,135932,02119,Encountered,Encounter,NULL,NULL,FALSE
2022-01-06,05:00:00,2022-01-06 05:00:00,Male,White,46,Not of Hispanic Origin,0,109338,02127,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-06,12:00:00,2022-01-06 12:00:00,Male,Black,53,NULL,0,148254,02118,Observed,NA,NULL,NULL,TRUE
2022-01-06,12:55:00,2022-01-06 12:55:00,Male,Black,20,NULL,1,117001,02119,Encountered,Intel,NULL,NULL,FALSE
2022-01-06,21:54:00,2022-01-06 21:54:00,Male,Black,24,Not of Hispanic Origin,0,NA,NA,NA,NA,NA,NA,FALSE
2022-01-06,23:06:00,2022-01-06 23:06:00,Male,White,22,Hispanic Origin,0,157673,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-06,23:06:00,2022-01-06 23:06:00,Male,NA,16,NULL,0,157673,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-07,01:00:00,2022-01-07 01:00:00,Male,White,19,Not of Hispanic Origin,1,157665,02215,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-07,01:00:00,2022-01-07 01:00:00,Female,White,19,Not of Hispanic Origin,0,157665,02215,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-07,00:28:00,2022-01-07 00:28:00,Male,Black,23,Hispanic Origin,0,153078,02118,Observed,Intel,NULL,NULL,TRUE
2022-01-07,00:28:00,2022-01-07 00:28:00,NA,Black,NA,Unknown,0,153078,02118,Observed,Intel,NULL,NULL,TRUE
2022-01-07,02:11:00,2022-01-07 02:11:00,NA,Black,NA,Unknown,0,153078,02116,Encountered,Intel,NULL,NULL,FALSE
2022-01-07,02:11:00,2022-01-07 02:11:00,Male,Black,47,Not of Hispanic Origin,0,153078,02116,Encountered,Intel,NULL,NULL,FALSE
2022-01-07,02:11:00,2022-01-07 02:11:00,Female,White,38,Not of Hispanic Origin,0,153078,02116,Encountered,Intel,NULL,NULL,FALSE
2022-01-07,08:00:00,2022-01-07 08:00:00,Female,White,56,Not of Hispanic Origin,0,111241,02114,Encountered,Encounter,NULL,NULL,FALSE
2022-01-06,15:40:00,2022-01-06 15:40:00,Female,Black,24,Not of Hispanic Origin,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-06,15:40:00,2022-01-06 15:40:00,Male,Black,29,NULL,1,126514,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-07,10:30:00,2022-01-07 10:30:00,Male,White,33,Not of Hispanic Origin,1,153120,02125,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-07,09:00:00,2022-01-07 09:00:00,Female,Other,29,Not of Hispanic Origin,1,118323,02118,Encountered,Encounter,NULL,NULL,FALSE
2022-01-07,13:28:00,2022-01-07 13:28:00,Male,White,37,Hispanic Origin,1,153073,02111,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-07,14:48:00,2022-01-07 14:48:00,Male,White,37,Unknown,0,157671,02116,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-07,17:50:00,2022-01-07 17:50:00,Male,Black,20,Not of Hispanic Origin,0,131605,02121,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-07,18:50:00,2022-01-07 18:50:00,Male,Black,17,Not of Hispanic Origin,0,149202,02118,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,02:09:00,2022-01-08 02:09:00,Male,Black,24,NULL,0,114015,02121,Encountered,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-08,02:09:00,2022-01-08 02:09:00,Male,Black,27,Not of Hispanic Origin,0,114015,02121,Encountered,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-08,01:35:00,2022-01-08 01:35:00,Male,Black,29,Not of Hispanic Origin,0,153078,02118,Observed,Intel,NULL,NULL,TRUE
2022-01-08,11:45:00,2022-01-08 11:45:00,Male,Black,39,Hispanic Origin,0,157676,02124,Stopped,Intel,NULL,NULL,TRUE
2022-01-08,12:23:00,2022-01-08 12:23:00,Male,Black,18,Not of Hispanic Origin,1,128383,02121,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,12:23:00,2022-01-08 12:23:00,Male,Black,17,Not of Hispanic Origin,1,128383,02121,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,18:30:00,2022-01-08 18:30:00,Male,White,31,Not of Hispanic Origin,0,148287,02215,Encountered,Encounter,NULL,NULL,FALSE
2022-01-09,02:24:00,2022-01-09 02:24:00,Female,Black,27,Not of Hispanic Origin,0,153137,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-09,NA,2022-01-09,Male,Black,21,Not of Hispanic Origin,0,153135,02116,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-09,NA,2022-01-09,Male,Black,22,Not of Hispanic Origin,0,153135,02116,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-09,01:50:00,2022-01-09 01:50:00,Male,Black,25,Not of Hispanic Origin,0,157655,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,20:14:00,2022-01-08 20:14:00,Male,Black,18,Unknown,1,157676,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,20:14:00,2022-01-08 20:14:00,Male,Black,21,Not of Hispanic Origin,1,157676,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,20:14:00,2022-01-08 20:14:00,Male,Black,19,Hispanic Origin,1,157676,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,20:14:00,2022-01-08 20:14:00,Male,Black,19,Not of Hispanic Origin,1,157676,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-08,20:14:00,2022-01-08 20:14:00,Male,Black,20,NULL,1,157676,02126,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-09,17:43:00,2022-01-09 17:43:00,Male,Black,25,Not of Hispanic Origin,0,153089,02131,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,01:35:00,2022-01-10 01:35:00,Male,Black,24,Hispanic Origin,1,157665,02118,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-09,23:07:00,2022-01-09 23:07:00,Male,Black,41,Not of Hispanic Origin,0,157639,02119,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-09,23:07:00,2022-01-09 23:07:00,Male,Black,16,Not of Hispanic Origin,1,157639,02119,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-10,05:49:00,2022-01-10 05:49:00,Female,Black,16,Not of Hispanic Origin,0,114015,02124,Encountered,Encounter,NULL,NULL,FALSE
2022-01-10,05:49:00,2022-01-10 05:49:00,Male,Black,22,Not of Hispanic Origin,0,114015,02124,Encountered,Encounter,NULL,NULL,FALSE
2022-01-10,08:43:00,2022-01-10 08:43:00,Male,White,49,Not of Hispanic Origin,0,153078,02118,Encountered,Intel,NULL,NULL,FALSE
2022-01-09,22:51:00,2022-01-09 22:51:00,NA,Black,NA,NULL,0,102668,02122,Observed,Intel,NULL,NULL,FALSE
2022-01-10,13:01:00,2022-01-10 13:01:00,Male,White,45,NULL,1,148283,02118,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-10,14:07:00,2022-01-10 14:07:00,Male,Other,15,Hispanic Origin,1,141560,02119,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-10,14:07:00,2022-01-10 14:07:00,Male,NA,16,NULL,1,141560,02119,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-10,14:07:00,2022-01-10 14:07:00,Male,NA,15,NULL,1,141560,02119,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-10,NA,2022-01-10,Male,Black,28,Not of Hispanic Origin,0,153076,02124,Encountered,Intel,NULL,NULL,TRUE
2022-01-10,18:00:00,2022-01-10 18:00:00,Female,White,41,NULL,0,162964,02108,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-10,19:02:00,2022-01-10 19:02:00,Female,White,29,Not of Hispanic Origin,0,162316,02110,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-10,20:45:00,2022-01-10 20:45:00,Male,White,37,Unknown,0,162930,02111,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-10,21:20:00,2022-01-10 21:20:00,Male,White,20,Hispanic Origin,1,117354,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:20:00,2022-01-10 21:20:00,Female,Black,21,Hispanic Origin,0,117354,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:20:00,2022-01-10 21:20:00,Male,Black,27,Not of Hispanic Origin,1,117354,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:20:00,2022-01-10 21:20:00,Male,Black,24,NULL,1,117354,02119,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:00:00,2022-01-10 21:00:00,Male,Black,22,Not of Hispanic Origin,1,124390,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:00:00,2022-01-10 21:00:00,Male,Black,26,Hispanic Origin,0,124390,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,21:00:00,2022-01-10 21:00:00,Male,Black,24,Not of Hispanic Origin,1,124390,02124,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,22:45:00,2022-01-10 22:45:00,Male,White,23,NULL,1,124390,02121,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-10,22:45:00,2022-01-10 22:45:00,Male,Black,22,Hispanic Origin,1,124390,02121,Stopped,Probable Cause,NULL,NULL,TRUE
2022-01-11,06:55:00,2022-01-11 06:55:00,Male,White,53,Hispanic Origin,0,153078,02118,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-11,10:34:00,2022-01-11 10:34:00,Female,White,21,Hispanic Origin,0,144309,02132,Encountered,Encounter,NULL,NULL,TRUE
